iter	Passed	Remaining
0	6	6445
1	12	6343
2	19	6348
3	25	6304
4	31	6268
5	36	6116
6	42	5973
7	47	5837
8	52	5735
9	57	5663
10	62	5605
11	67	5555
12	72	5509
13	77	5464
14	82	5430
15	87	5404
16	92	5377
17	98	5353
18	103	5323
19	108	5297
20	113	5285
21	118	5272
22	123	5257
23	129	5250
24	134	5248
25	139	5234
26	144	5218
27	149	5206
28	155	5199
29	160	5185
30	165	5171
31	170	5163
32	175	5151
33	180	5133
34	185	5124
35	190	5113
36	195	5094
37	201	5088
38	206	5078
39	211	5069
40	216	5057
41	221	5050
42	226	5043
43	232	5040
44	237	5036
45	242	5030
46	247	5023
47	253	5020
48	258	5013
49	263	5005
50	268	4999
51	273	4990
52	278	4977
53	283	4970
54	288	4961
55	293	4952
56	298	4944
57	304	4938
58	309	4928
59	313	4918
60	319	4913
61	324	4909
62	330	4908
63	335	4903
64	340	4898
65	346	4899
66	351	4894
67	356	4886
68	361	4882
69	367	4876
70	372	4871
71	377	4867
72	382	4861
73	388	4855
74	393	4849
75	398	4842
76	403	4834
77	408	4822
78	412	4812
79	417	4805
80	422	4798
81	428	4792
82	433	4786
83	438	4786
84	444	4779
85	449	4773
86	454	4768
87	459	4763
88	464	4757
89	470	4753
90	475	4747
91	480	4741
92	485	4736
93	490	4729
94	495	4722
95	500	4716
96	505	4709
97	511	4703
98	516	4698
99	521	4692
100	526	4684
101	531	4679
102	536	4672
103	541	4667
104	547	4662
105	552	4657
106	557	4652
107	562	4647
108	567	4640
109	573	4636
110	578	4630
111	583	4624
112	588	4617
113	593	4613
114	598	4606
115	603	4601
116	609	4597
117	614	4593
118	619	4590
119	625	4585
120	630	4580
121	635	4576
122	641	4570
123	646	4564
124	651	4559
125	656	4554
126	661	4548
127	666	4542
128	672	4541
129	678	4541
130	684	4539
131	689	4536
132	695	4531
133	700	4526
134	705	4518
135	710	4512
136	716	4511
137	720	4502
138	726	4498
139	731	4495
140	736	4489
141	742	4485
142	747	4479
143	752	4474
144	757	4466
145	762	4459
146	768	4460
147	773	4454
148	779	4449
149	784	4444
150	789	4438
151	794	4433
152	800	4430
153	805	4424
154	810	4416
155	815	4410
156	820	4405
157	825	4398
158	830	4392
159	835	4387
160	841	4382
161	846	4376
162	851	4370
