UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
1,H25795,H,296.2255910060525,310.35353509631113,1530,45.33359415027163,143,0,No Failure
2,L86820,L,296.76719354259507,307.61308425289803,1225,38.39043429434955,135,0,No Failure
3,H16265,M,300.0468675660077,308.3559142035174,1582,38.62911243317788,88,0,No Failure
4,H47194,M,297.45525270029276,309.8933011835611,1314,39.545359135881625,95,0,No Failure
5,H54131,M,296.94495430590956,306.96031198224927,1581,43.87062450339106,125,0,No Failure
6,H77221,L,294.95503468662554,309.74122052938304,1681,43.15479538511457,89,0,No Failure
7,L10769,H,296.9299680283166,310.61080035633853,1483,40.67535939930897,243,0,No Failure
8,M77969,L,297.8420795887075,307.16663150400564,1586,33.86132329197739,85,0,No Failure
9,L93104,M,296.11389556032066,310.20408150889443,1274,43.06529587883163,158,0,No Failure
10,M38693,L,297.75582491652625,305.5091321086376,1365,35.69297682608514,234,0,No Failure
11,L35658,L,300.05594659098733,308.73440059219183,1388,35.4205130310014,137,0,No Failure
12,H28431,H,297.08904198950745,306.3071022264443,1277,34.307574550311585,183,0,No Failure
13,H75725,H,296.73492542594505,309.5638528228043,1634,39.58415644598982,120,0,No Failure
14,M94654,M,296.46414779970235,309.4406840726333,1289,46.05862149235344,75,0,No Failure
15,M77435,L,296.43735386122626,311.26606999338685,1375,35.17319727809893,244,0,No Failure
16,H76803,L,298.95336617033263,310.2819244744287,1220,48.39287976587044,91,0,No Failure
17,L21394,H,298.22300310532455,307.9013432035978,1253,44.54905111226786,69,0,No Failure
18,L13890,L,299.58528531891335,306.5273787690517,1383,32.67698968374688,147,0,No Failure
19,H90038,L,301.17975683748136,308.99853061950404,1558,38.086124089108395,132,0,No Failure
20,M20627,L,295.4044133021363,308.05890288442174,1421,34.79874866504598,22,0,No Failure
21,L83969,H,298.72011806266266,310.47673256689353,1514,43.32477728867858,136,0,No Failure
22,M86552,M,296.47207099834964,304.9004287348763,1527,35.05918326164795,57,0,No Failure
23,M78148,M,299.3333489470501,311.4320851389329,1378,31.8944026147191,186,0,No Failure
24,M33483,L,297.7421319983898,308.9479859114177,1475,38.371371116314556,220,1,Tool Wear Failure
25,H58555,M,298.1909841412962,306.93048181741943,1311,45.846970368481294,207,0,No Failure
26,L27159,H,296.22523385810524,309.25098384112783,1423,39.037418880787236,181,0,No Failure
27,H90077,H,297.5103594623302,310.09613213193455,1413,41.99221931678341,45,1,Random Failures
28,L77121,M,298.28449337666234,308.32152033695553,1258,42.186155487735206,21,0,No Failure
29,M76557,M,300.18411722021006,305.50261942378273,1526,32.438622036294625,191,0,No Failure
